Accession,Release_Date,Species,Genus,Family,Length,Nuc_Completeness,Genotype,Genome_Region,Segment,Authors,Publications,Geo_Location,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
MT263397,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29601,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW316/human/2020/USA, partial genome"
MT263398,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29884,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW317/human/2020/USA, complete genome"
MT263399,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29886,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW319/human/2020/USA, complete genome"
MT263400,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29841,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-23,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW320/human/2020/USA, complete genome"
MT263401,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29473,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-23,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW321/human/2020/USA, partial genome"
MT263441,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29793,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW361/human/2020/USA, complete genome"
MT263442,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29819,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW362/human/2020/USA, complete genome"
MT263443,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29869,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW363/human/2020/USA, complete genome"
MT263444,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29857,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-20,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW364/human/2020/USA, complete genome"
MT263445,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29868,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW365/human/2020/USA, complete genome"
MT263446,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29872,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW366/human/2020/USA, complete genome"
MT263447,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29868,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW367/human/2020/USA, complete genome"
MT263448,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29828,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW368/human/2020/USA, complete genome"
MT263449,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29828,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW369/human/2020/USA, complete genome"
MT263450,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29841,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW370/human/2020/USA, complete genome"
MT263451,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29693,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW371/human/2020/USA, complete genome"
MT263452,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29833,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW372/human/2020/USA, complete genome"
MT263453,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29777,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW373/human/2020/USA, complete genome"
MT263454,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29837,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW374/human/2020/USA, complete genome"
MT263455,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29705,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW375/human/2020/USA, complete genome"
MT263456,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29775,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW376/human/2020/USA, complete genome"
MT263457,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29801,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW378/human/2020/USA, complete genome"
MT263458,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29881,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-23,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW379/human/2020/USA, complete genome"
MT263402,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29844,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-23,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW322/human/2020/USA, complete genome"
MT263403,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29878,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-20,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW323/human/2020/USA, complete genome"
MT263404,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29866,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW324/human/2020/USA, complete genome"
MT263405,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29834,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-21,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW325/human/2020/USA, complete genome"
MT263407,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29575,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-22,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW327/human/2020/USA, partial genome"
MT263409,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29443,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-22,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW329/human/2020/USA, partial genome"
MT263410,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29871,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW330/human/2020/USA, complete genome"
MT263413,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29862,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW333/human/2020/USA, complete genome"
MT263414,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29830,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW334/human/2020/USA, complete genome"
MT263416,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29815,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-21,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW336/human/2020/USA, complete genome"
MT263419,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29853,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-20,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW339/human/2020/USA, complete genome"
MT263421,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29900,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW341/human/2020/USA, complete genome"
MT263424,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29830,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW344/human/2020/USA, complete genome"
MT263425,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29841,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW345/human/2020/USA, complete genome"
MT263429,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29889,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW349/human/2020/USA, complete genome"
MT263431,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29863,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW351/human/2020/USA, complete genome"
MT263432,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29866,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW352/human/2020/USA, complete genome"
MT263435,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29882,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW355/human/2020/USA, complete genome"
MT263438,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29872,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW358/human/2020/USA, complete genome"
MT263440,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29863,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW360/human/2020/USA, complete genome"
MT263460,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29755,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW381/human/2020/USA, partial genome"
MT263462,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29764,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-23,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW383/human/2020/USA, complete genome"
MT263463,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29868,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-23,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW384/human/2020/USA, complete genome"
MT263464,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29832,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-23,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW385/human/2020/USA, complete genome"
MT263465,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29867,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-23,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW386/human/2020/USA, complete genome"
MT263468,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29892,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-23,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW389/human/2020/USA, complete genome"
MT263469,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29857,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-23,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW390/human/2020/USA, complete genome"
MT262896,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29882,GenBank,,,,"Zhang,J., Tao,Y., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-NH2/human/2020/USA, complete genome"
MT262897,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29882,GenBank,,,,"Zhang,J., Tao,Y., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-NH3/human/2020/USA, complete genome"
MT262898,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29882,GenBank,,,,"Zhang,J., Tao,Y., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-NH4/human/2020/USA, complete genome"
MT262899,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29882,GenBank,,,,"Zhang,J., Tao,Y., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-NH5/human/2020/USA, complete genome"
MT262900,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29882,GenBank,,,,"Zhang,J., Tao,Y., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-NH6/human/2020/USA, complete genome"
MT262901,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29882,GenBank,,,,"Zhang,J., Tao,Y., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-NH7/human/2020/USA, complete genome"
MT262902,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29882,GenBank,,,,"Zhang,J., Tao,Y., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-NH8/human/2020/USA, complete genome"
MT262903,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29882,GenBank,,,,"Tao,Y., Zhang,J., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-NH9/human/2020/USA, complete genome"
MT262904,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29882,GenBank,,,,"Tao,Y., Zhang,J., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-NH10/human/2020/USA, complete genome"
